PDS;ANZ_S;RTS_E25100.0;RTS_E25100.1;RTS_E25100.3;RTS_E25100.4;RTS_E25100.9;RTS_E25090.0;RTS_E25090.1;RTS_E25090.3;RTS_E25090.4;RTS_E25090.9;RTS_E25080.0;RTS_E25080.1;RTS_E25080.3;RTS_E25080.4;RTS_E25080.9;RTS_E25070.0;RTS_E25070.1;RTS_E25070.3;RTS_E25070.4;RTS_E25070.9;RTS_E25060.0;RTS_E25060.1;RTS_E25060.3;RTS_E25060.4;RTS_E25060.9;RTS_E25050.0;RTS_E25050.1;RTS_E25050.3;RTS_E25050.4;RTS_E25050.9;RTS_E25040.0;RTS_E25040.1;RTS_E25040.3;RTS_E25040.4;RTS_E25040.9;RTS_E25030.0;RTS_E25030.1;RTS_E25030.3;RTS_E25030.4;RTS_E25030.9;RTS_E25020.0;RTS_E25020.1;RTS_E25020.3;RTS_E25020.4;RTS_E25020.9;RTS_E25010.0;RTS_E25010.1;RTS_E25010.3;RTS_E25010.4;RTS_E25010.9
1956935;34;;;;34;;3;;1;30;;33;1;;;;13;;;21;;21;4;;9;;1;2;;31;;;4;10;20;;9;;1;24;;11;15;4;4;;;;7;27;
1956936;94;67;;;27;;;1;;93;;89;2;2;1;;66;8;10;10;;66;21;1;6;;2;46;28;18;;;1;1;92;;46;1;1;46;;91;2;1;;;;2;3;89;
1956937;37;1;;;36;;;;;37;;32;;;5;;15;;6;16;;10;1;;26;;;;11;26;;;;;37;;;1;1;35;;22;3;2;10;;;2;2;33;
1956938;79;;;;79;;;6;2;71;;73;4;1;1;;2;13;19;45;;7;2;5;65;;2;;18;59;;;;;79;;4;75;;;;1;16;11;51;;;1;2;76;
1956939;40;3;;;37;;4;;3;33;;30;6;2;2;;7;14;10;9;;7;12;;21;;;;;40;;;;;40;;4;5;12;19;;3;25;6;6;;;;;40;
7418358;43;;;;43;;;1;1;41;;39;3;;1;;36;1;;6;;2;25;;16;;;1;2;40;;;;2;41;;;1;6;36;;27;;;16;;;;;43;
7710018;131;2;;;129;;;;1;130;;129;;1;1;;17;15;22;77;;28;30;13;60;;5;10;3;113;;;11;25;95;;5;28;24;74;;24;58;20;29;;;1;1;129;
7710019;58;5;;;53;;;;;58;;36;17;1;4;;2;2;6;48;;;12;1;45;;;1;4;53;;;5;2;51;;2;6;6;44;;4;2;2;50;;;;;58;
7710020;119;119;;;;;34;5;2;78;;113;2;2;2;;14;49;24;32;;55;21;9;34;;;60;35;24;;;1;1;117;;51;30;20;18;;104;2;2;11;;;4;21;94;
7710021;113;3;;;110;;;;;113;;106;1;2;4;;89;5;9;10;;75;16;2;20;;13;24;20;56;;;13;45;55;;1;15;40;57;;7;63;1;42;;;;1;112;
7710022;138;11;;;127;;;50;1;87;;117;9;2;10;;7;85;17;29;;33;47;5;53;;;9;15;114;;;59;36;43;;;2;29;107;;82;8;26;22;;;2;22;114;
7710023;94;16;;;78;;9;;3;82;;90;;1;3;;1;23;25;45;;1;14;2;77;;;2;1;91;;;;;94;;;1;12;81;;;13;22;59;;;;1;93;
7710024;120;;;;120;;20;;5;95;;104;4;3;9;;7;32;33;48;;5;33;;82;;;;;120;;;;;120;;4;;30;86;;13;95;5;7;;;1;4;115;
7710025;252;;;;252;;;;;252;;205;7;29;11;;21;42;43;146;;95;34;;123;;1;3;;248;;;1;5;246;;2;2;5;243;;226;7;4;15;;;11;42;199;
7710026;33;;;;33;;;;;33;;22;;;11;;13;;3;17;;;;;33;;;;;33;;;;;33;;;;;33;;18;1;;14;;;;;33;
7710027;101;;;;101;;;2;;99;;90;;;11;;9;5;38;49;;3;10;7;81;;;2;6;93;;;;3;98;;4;;7;90;;84;4;2;11;;;;;101;
7710028;158;8;;;150;;14;;18;126;;134;;8;16;;60;31;40;27;;10;31;33;84;;;13;76;69;;;;2;156;;2;53;31;72;;48;85;6;19;;;16;21;121;
7710029;235;107;;;128;;1;3;1;230;;198;27;;10;;71;16;50;98;;93;79;1;62;;;1;2;232;;2;;2;231;;2;7;5;221;;165;22;12;36;;;;12;223;
7710030;291;;;;291;;;25;82;184;;245;6;;40;;12;40;71;168;;23;22;20;226;;1;4;18;268;;;;;291;;1;3;4;283;;;40;51;200;;;15;74;202;
7710031;189;5;;;184;;;;;189;;166;2;6;15;;97;28;34;30;;109;7;12;61;;;2;39;148;;;;3;186;;1;2;12;174;;116;34;19;20;;;5;8;176;
7710032;43;;;;43;;;;1;42;;29;2;;12;;;2;1;40;;2;7;2;32;;;2;;41;;;;;43;;2;5;6;30;;1;1;1;40;;;;;43;
7710033;47;;;;47;;;1;;46;;37;1;5;4;;13;3;12;19;;3;9;;35;;;10;9;28;;;;;47;;;1;7;39;;21;13;4;9;;;2;4;41;
7710034;568;;;;568;;;59;22;487;;515;1;4;48;;159;9;26;374;;132;33;27;376;;;;;568;;;1;14;553;;;7;54;507;;368;17;37;146;;;10;45;513;
7710035;60;1;;;59;;9;3;3;45;;58;;1;1;;20;8;20;12;;9;23;;28;;1;;;59;;;;2;58;;;9;12;39;;50;5;2;3;;;;13;47;
7710036;132;1;;;131;;40;;10;82;;124;1;;7;;37;35;17;43;;119;9;1;3;;3;8;1;120;;;4;30;98;;2;6;2;122;;127;2;;3;;;2;13;117;
7710037;92;;;;92;;;;;92;;78;8;;6;;54;3;9;26;;8;64;;20;;;3;5;84;;;;23;69;;;4;4;84;;48;1;;43;;;;;92;
7710038;64;;;;64;;2;;;62;;62;;1;1;;2;15;26;21;;9;11;2;42;;;;1;63;;;;1;63;;2;;1;61;;49;5;4;6;;;;5;59;
7710039;196;;;;196;;;;;196;;141;14;1;40;;93;11;17;75;;20;20;1;155;;;8;9;179;;;1;11;184;;3;;;193;;123;8;7;58;;;;2;194;
7710040;56;;;;56;;1;;;55;;54;;;2;;4;7;23;22;;21;9;5;21;;;;2;54;;;;;56;;3;2;1;50;;;43;6;7;;;4;6;46;
